UPC1,Descrption,Price,QOH,Tax,Category,Sub Category ,Sub Category 2,Sub Category 3 ,Vendor 
40000000206,,69,1,Yes,,,,,
40000000380,,10,4,Yes,,,,,
40000000381,,12,6,Yes,,,,,
40000000942,,18,1,Yes,,,,,
40000001002,,20,1,Yes,,,,,
40000001376,,54,12,Yes,,,,,
40000001476,,20,1,Yes,,,,,
40000001492,,16,14,Yes,,,,,
40000001494,,12,2,Yes,,,,,
40000001526,,69,6,Yes,,,,,
40000001590,,59,14,Yes,,,,,
40000001664,,12,1,Yes,,,,,
40000001719,,15,6,Yes,,,,,
40000001851,,69,3,Yes,,,,,
40000001857,,42,1,Yes,,,,,
40000001873,Scoop Neck Tee,12,4,Yes,Apparel,Top,,,
40000001938,,14,1,Yes,,,,,
40000001975,,18,2,Yes,,,,,
40000002008,,18,1,Yes,,,,,
40000002012,,56,3,Yes,,,,,
40000002290,Asymetrical Tunic,58,1,Yes,Apparel,Top,,,
40000002418,,74,1,Yes,,,,,
40000002420,,64,2,Yes,,,,,
40000002511,,42,1,Yes,,,,,
40000002551,,35,1,Yes,,,,,
40000002568,,26,1,Yes,,,,,
40000002670,,20,3,Yes,,,,,
40000002671,,64,1,Yes,,,,,
40000002716,,54,10,Yes,,,,,
40000002780,,16,1,Yes,,,,,
40000002928,,74,4,Yes,,,,,
40000002945,,39,1,Yes,,,,,
40000002947,,69,2,Yes,,,,,
40000002948,,69,6,Yes,,,,,
40000002950,,69,1,Yes,,,,,
40000002952,,49,1,Yes,,,,,
40000002957,,42,1,Yes,,,,,
40000002958,,42,3,Yes,,,,,
40000002994,,44,1,Yes,,,,,
40000002995,,38,1,Yes,,,,,
40000002998,,69,1,Yes,,,,,
40000003017,,34,1,Yes,,,,,
40000003051,,78,1,Yes,,,,,
40000003116,,20,1,Yes,,,,,
40000003117,,22,1,Yes,,,,,
40000003154,,30,2,Yes,,,,,
40000003163,,64,1,Yes,,,,,
40000003165,,74,4,Yes,,,,,
40000003167,,42,1,Yes,,,,,
40000003182,,32,2,Yes,,,,,
40000003199,,24,1,Yes,,,,,
40000003235,,48,1,Yes,,,,,
40000003249,,89,2,Yes,,,,,
40000003289,,37,1,Yes,,,,,
40000003297,,50,1,Yes,,,,,
40000003303,,42,1,Yes,,,,,
40000003321,,69,5,Yes,,,,,
40000003356,,54,1,Yes,,,,,
40000003373,,54,2,Yes,,,,,
40000003386,,32,1,Yes,,,,,
40000003392,,32,2,Yes,,,,,
40000003409,,42,2,Yes,,,,,
40000003410,,42,1,Yes,,,,,
40000003420,,42,2,Yes,,,,,
40000003434,,32,3,Yes,,,,,
40000003447,,55,2,Yes,,,,,
40000003449,,45,1,Yes,,,,,
40000003459,,74,1,Yes,,,,,
40000003462,,69,1,Yes,,,,,
40000003484,,38,2,Yes,,,,,
40000003486,,43,2,Yes,,,,,
40000003487,,43,4,Yes,,,,,
40000003493,,34,1,Yes,,,,,
40000003506,,54,2,Yes,,,,,
40000003508,,54,1,Yes,,,,,
40000003510,,22,2,Yes,,,,,
40000003513,,60,3,Yes,,,,,
40000003517,,26,6,Yes,,,,,
40000003518,,23,2,Yes,,,,,
40000003520,,35,4,Yes,,,,,
40000003521,,40,5,Yes,,,,,
40000003522,,45,3,Yes,,,,,
40000003523,,50,1,Yes,,,,,
40000003524,,55,2,Yes,,,,,
40000003526,,58,3,Yes,,,,,
40000003527,,60,1,Yes,,,,,
40000003540,,14,4,Yes,,,,,
40000003541,,60,4,Yes,,,,,
40000003542,,40,1,Yes,,,,,
40000003547,,65,1,Yes,,,,,
40000003551,,27,1,Yes,,,,,
40000003614,,56,4,Yes,,,,,
40000003615,,72,10,Yes,,,,,
40000003616,,35,3,Yes,,,,,
40000003618,,55,1,Yes,,,,,
40000003619,,50,2,Yes,,,,,
40000003623,,37,1,Yes,,,,,
40000003647,,55,3,Yes,,,,,
40000003654,,85,1,Yes,,,,,
40000003657,,100,1,Yes,,,,,
40000003659,,100,2,Yes,,,,,
40000003660,,69,3,Yes,,,,,
40000003661,,85,2,Yes,,,,,
40000003665,,69,1,Yes,,,,,
40000003669,,27,8,Yes,,,,,
40000003670,,12,8,Yes,,,,,
40000003707,,49,4,Yes,,,,,
40000003708,,54,3,Yes,,,,,
40000003718,,12,5,Yes,,,,,
40000003719,,44,2,Yes,,,,,
40000003742,,25,3,Yes,,,,,
40000003753,,39,3,Yes,,,,,
40000003754,,42,1,Yes,,,,,
40000003756,,42,1,Yes,,,,,
40000003758,Piko Dress,28,5,Yes,Apparel,Dress,,,
40000003763,Khaki/White Tank,48,2,Yes,Apparel,Top,,,
40000003764,Black/White Stripes Away,48,1,Yes,Apparel,Top,,,
40000003765,White Jet Set Linen,58,1,Yes,Apparel,Top,,,
40000003799,Natural Wedge,39,1,Yes,Footwear,Wedge,,,
40000003800,Denim Sandel,19,2,Yes,Footwear,Sandel,,,
40000003801,Beige Wedge,39,5,Yes,Footwear,Wedge,,,
