UPC1, Item, Descrption, Price, Cost, Category, SubCategory, SubCategory2, SubCategory3, Vendor, Gigis-Raleigh, Gigis-Cary, Violet-Rareigh, Violet-CaryTotal Inventory
40000004279 ,   , Gigis Handbags , 59 ,   , Accessory ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004420 ,   , ganz , 39 ,   , Accessory ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004407 ,   , Navy Multi JKT , 75 ,   , Apparel ,  ,  ,  ,  , 2 , 0 , 0 , 0 , 2
40000004517 ,   , L/S 2 Pocket Top , 42 ,   , Apparel ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004290 ,   , Gigis Handbag , 39 ,   , Accessory ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004044 ,   , Lace Tube Top , 16 ,   , Apparel ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40005722001 ,   ,  , 12 ,   ,  ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000003669 ,   ,  , 27 ,   ,  ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000003400 ,   ,  , 18 ,   ,  ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004411 ,   , Fringe Vest , 49 ,   , Apparel ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000004006 ,   , Cha Cha Dress , 120 ,   , Apparel ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004097 , 114 , Mutliples Top , 49 , $26.75  , Apparel ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000003654 ,   ,  , 85 ,   ,  ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004002 ,   , Layered Top , 98 ,   , Apparel ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000004200 ,   , Ruffled Dress , 122 ,   , Apparel ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000004205 ,   , Laundered Sateen Top , 64 ,   , Apparel ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000003864 ,   , Black Top , 44 ,   , Apparel ,  ,  ,  ,  , 2 , 0 , 0 , 0 , 2
40000003657 ,   ,  , 100 ,   ,  ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000004004 ,   , Sleeveless Blouse , 98 ,   , Apparel ,  ,  ,  ,  , 2 , 0 , 0 , 0 , 2
40000004410 ,   , Blk Open Cardi , 49 ,   , Apparel ,  ,  ,  ,  , 2 , 0 , 0 , 0 , 2
40000003942 ,   , Beach Wrap , 20 ,   , Apparel ,  ,  ,  ,  , 4 , 0 , 0 , 0 , 4
40000004421 ,   , ganz , 12 ,   , Accessory ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000003670 ,   ,  , 12 ,   ,  ,  ,  ,  ,  , 2 , 0 , 0 , 0 , 2
40000000206 ,   ,  , 69 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000000380 ,   ,  , 10 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000000381 ,   ,  , 12 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000000942 ,   ,  , 18 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
