UPC1, Item, Descrption, Price, Cost, Category, SubCategory, SubCategory2, SubCategory3, Vendor, Gigis-Raleigh, Gigis-Cary, Violet-Rareigh, Violet-Cary, Total Inventory
1223 ,   ,    , 19 ,   ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 0 , 1 , 1
1813 ,   ,  Black/Red Fringe  , 45 ,   ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 1 , 1 , 2
3752 ,   ,  Necklace  , 39 ,   ,  Accessory   ,  Jewelry  ,  Necklace  ,    ,  LA Product   , 0 , 0 , 1 , 0 , 1
45000 ,   ,  Fuzzy Key Chain  , 18 ,   ,  Accessory   ,  Key Chain  ,    ,    ,    , 0 , 0 , 1 , 0 , 1
781001 ,   ,    , 48 ,   ,    ,    ,    ,    ,    , 0 , 0 , 1 , 0 , 1
793001 ,   ,    , 36 ,   ,    ,    ,    ,    ,    , 0 , 0 , 1 , 0 , 1
7810001 ,   ,    , 48 ,   ,    ,    ,    ,    ,    , 0 , 0 , 1 , 0 , 1
7811001 ,   ,    , 48 ,   ,    ,    ,    ,    ,    , 0 , 0 , 2 , 0 , 2
7827001 ,   ,    , 45 ,   ,    ,    ,    ,    ,    , 0 , 0 , 3 , 0 , 3
7831001 ,   ,    , 36 ,   ,    ,    ,    ,    ,    , 0 , 0 , 1 , 0 , 1
7833001 ,   ,    , 31 ,   ,    ,    ,    ,    ,    , 0 , 0 , 1 , 0 , 1
7835001 ,   ,    , 45 ,   ,    ,    ,    ,    ,    , 0 , 0 , 1 , 0 , 1
7838001 ,   ,    , 45 ,   ,    ,    ,    ,    ,    , 0 , 0 , 1 , 0 , 1
127890244 ,   ,  Freaker  , 12 ,   ,  Giftware   ,    ,    ,    ,  Freaker USA   , 0 , 0 , 1 , 0 , 1
787270016 ,   ,    , 45 ,   ,    ,    ,    ,    ,    , 0 , 0 , 1 , 0 , 1
1039550399 ,   ,  Freaker  , 12 ,   ,  Giftware   ,    ,    ,    ,  Freaker USA   , 0 , 0 , 1 , 0 , 1
1039550403 ,   ,  Freaker  , 12 ,   ,  Giftware   ,    ,    ,    ,  Freaker USA   , 0 , 0 , 1 , 0 , 1
