UPC1,Descrption,Price,QOH,Tax,Category,SubCategory ,SubCategory2,SubCategory3 ,Vendor 
40000000206,,69,1,Yes,,,,,
40000000380,,10,4,Yes,,,,,
40000000381,,12,6,Yes,,,,,
40000000942,,18,1,Yes,,,,,
40000001002,,20,1,Yes,,,,,
40000001376,,54,12,Yes,,,,,
40000001476,,20,1,Yes,,,,,
40000001492,,16,14,Yes,,,,,
40000001494,,12,2,Yes,,,,,
40000001526,,69,6,Yes,,,,,
40000001590,,59,14,Yes,,,,,
40000001664,,12,1,Yes,,,,,
40000001719,,15,6,Yes,,,,,
40000001851,,69,3,Yes,,,,,
40000001857,,42,1,Yes,,,,,
40000001873,Scoop Neck Tee,12,4,Yes,Apparel,Top,,,
40000001938,,14,1,Yes,,,,,
40000001975,,18,2,Yes,,,,,
40000002008,,18,1,Yes,,,,,
40000002012,,56,3,Yes,,,,,
40000002290,Asymetrical Tunic,58,1,Yes,Apparel,Top,,,
40000002418,,74,1,Yes,,,,,
40000002420,,64,2,Yes,,,,,
40000002511,,42,1,Yes,,,,,
40000002551,,35,1,Yes,,,,,
40000002568,,26,1,Yes,,,,,
40000002670,,20,3,Yes,,,,,
40000002671,,64,1,Yes,,,,,
40000002716,,54,10,Yes,,,,,
40000002780,,16,1,Yes,,,,,
40000002928,,74,4,Yes,,,,,
40000002945,,39,1,Yes,,,,,
40000002947,,69,2,Yes,,,,,
40000002948,,69,6,Yes,,,,,
40000002950,,69,1,Yes,,,,,
40000002952,,49,1,Yes,,,,,
40000002957,,42,1,Yes,,,,,
40000002958,,42,3,Yes,,,,,
40000002994,,44,1,Yes,,,,,
40000002995,,38,1,Yes,,,,,
40000002998,,69,1,Yes,,,,,
40000003017,,34,1,Yes,,,,,
