UPC1, Item, Descrption, Price, Cost, Category, SubCategory, SubCategory2, SubCategory3, Vendor, Gigis-Raleigh, Gigis-Cary, Violet-Rareigh, Violet-CaryTotal Inventory
40000004279 ,   , Gigis Handbags , 59 ,   , Accessory ,  ,  ,  ,  , 2 , 0 , 0 , 0 , 2
40000004420 ,   , ganz , 39 ,   , Accessory ,  ,  ,  ,  , 2 , 0 , 0 , 0 , 2
40000004407 ,   , Navy Multi JKT , 75 ,   , Apparel ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000004517 ,   , L/S 2 Pocket Top , 42 ,   , Apparel ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004290 ,   , Gigis Handbag , 39 ,   , Accessory ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004044 ,   , Lace Tube Top , 16 ,   , Apparel ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40005722001 ,   ,  , 12 ,   ,  ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000003669 ,   ,  , 27 ,   ,  ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000003400 ,   ,  , 18 ,   ,  ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004411 ,   , Fringe Vest , 49 ,   , Apparel ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000004006 ,   , Cha Cha Dress , 120 ,   , Apparel ,  ,  ,  ,  , 5 , 0 , 0 , 0 , 5
40000004097 ,   , Mutliples Top , 49 ,   , Apparel ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000003654 ,   ,  , 85 ,   ,  ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004002 ,   , Layered Top , 98 ,   , Apparel ,  ,  ,  ,  , 4 , 0 , 0 , 0 , 4
40000004200 ,   , Ruffled Dress , 122 ,   , Apparel ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000004205 ,   , Laundered Sateen Top , 64 ,   , Apparel ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000003864 ,   , Black Top , 44 ,   , Apparel ,  ,  ,  ,  , 2 , 0 , 0 , 0 , 2
40000003657 ,   ,  , 100 ,   ,  ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000004004 ,   , Sleeveless Blouse , 98 ,   , Apparel ,  ,  ,  ,  , 2 , 0 , 0 , 0 , 2
40000004410 ,   , Blk Open Cardi , 49 ,   , Apparel ,  ,  ,  ,  , 2 , 0 , 0 , 0 , 2
40000003942 ,   , Beach Wrap , 20 ,   , Apparel ,  ,  ,  ,  , 4 , 0 , 0 , 0 , 4
40000004421 ,   , ganz , 12 ,   , Accessory ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000003670 ,   ,  , 12 ,   ,  ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000004103 ,   , Slimsations Bottom , 54 ,   , Apparel ,  ,  ,  ,  , 2 , 0 , 0 , 0 , 2
40000001376 ,   , Slimsations Bottom , 54 ,   , Apparel ,  ,  ,  ,  , 20 , 0 , 0 , 0 , 20
40000004211 ,   , Layers Top , 88 ,   , Apparel ,  ,  ,  ,  , 7 , 0 , 0 , 0 , 7
40000004041 ,   , Basic Camisole , 18 ,   , Apparel ,  ,  ,  ,  , 2 , 0 , 0 , 0 , 2
40000001719 ,   ,  , 15 ,   ,  ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40005719001 ,   ,  , 15 ,   ,  ,  ,  ,  ,  , 6 , 0 , 0 , 0 , 6
40005720001 ,   ,  , 15 ,   ,  ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40005815001 ,   ,  , 16 ,   ,  ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004039 ,   , Ruching Front Cami Bra , 15 ,   , Apparel ,  ,  ,  ,  , 4 , 0 , 0 , 0 , 4
40000004040 ,   , Racerback Cami Bra , 18 ,   , Apparel ,  ,  ,  ,  , 11 , 0 , 0 , 0 , 11
40005721001 ,   ,  , 8 ,   ,  ,  ,  ,  ,  , 7 , 0 , 0 , 0 , 7
40000001590 ,   ,  , 59 ,   ,  ,  ,  ,  ,  , 11 , 0 , 0 , 0 , 11
40000001374 ,   ,  , 59 ,   ,  ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004099 ,   , Slimsations Bottom , 59 ,   , Apparel ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000004100 ,   , Slimsations Bottom , 59 ,   , Apparel ,  ,  ,  ,  , 4 , 0 , 0 , 0 , 4
40000003660 ,   ,  , 59 ,   ,  ,  ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000003648 ,   , Necklace , 20 ,   , Accessory ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004128 ,   , Isel Camel Aspen Top , 59 ,   , Apparel ,  ,  ,  ,  , 4 , 0 , 0 , 0 , 4
40000003890 ,   , Small Resin Mosaic , 14 ,   , Accessory ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000003718 ,   ,  , 12 ,   ,  ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
40000004280 ,   , Gigis Handbag , 54 ,   , Accessory ,  ,  ,  ,  , 2 , 0 , 0 , 0 , 2
40000004422 ,   , Ganz , 26 ,   , Accessory ,  ,  ,  ,  , 2 , 0 , 0 , 0 , 2
40000003522 ,   ,  , 45 ,   ,  ,  ,  ,  ,  , 1 , 0 , 0 , 0 , 1
